,game_id,season,date_time_GMT
20568,2014030133,20142015,2015-04-20T23:00:00Z
20569,2014030134,20142015,2015-04-22T23:00:00Z
20570,2014030135,20142015,2015-04-24T23:00:00Z
20571,2014030311,20142015,2015-05-16T17:00:00Z
20572,2014030312,20142015,2015-05-19T00:00:00Z
20573,2014030313,20142015,2015-05-21T00:00:00Z
20574,2014030314,20142015,2015-05-23T00:00:00Z
20575,2014030315,20142015,2015-05-25T00:00:00Z
20576,2014030316,20142015,2015-05-27T00:00:00Z
20577,2014030317,20142015,2015-05-30T00:00:00Z
20578,2013030151,20132014,2014-04-18T01:30:00Z
20579,2013030152,20132014,2014-04-20T01:30:00Z
20580,2013030153,20132014,2014-04-21T23:00:00Z
20581,2013030154,20132014,2014-04-25T01:30:00Z
20582,2013030155,20132014,2014-04-27T01:30:00Z
20583,2013030156,20132014,2014-04-29T01:00:00Z
20584,2013030157,20132014,2014-05-01T01:30:00Z
20585,2015030151,20152016,2016-04-15T01:30:00Z
20586,2015030152,20152016,2016-04-17T00:00:00Z
20587,2015030153,20152016,2016-04-19T00:30:00Z
20588,2015030154,20152016,2016-04-21T01:30:00Z
20589,2015030155,20152016,2016-04-23T01:30:00Z
20590,2015030156,20152016,2016-04-24T19:00:00Z
20591,2014030151,20142015,2015-04-17T01:30:00Z
20592,2014030152,20142015,2015-04-18T19:00:00Z
20593,2014030153,20142015,2015-04-21T00:00:00Z
20594,2014030154,20142015,2015-04-23T01:30:00Z
20595,2014030155,20142015,2015-04-25T01:30:00Z
20596,2014030156,20142015,2015-04-26T19:00:00Z
20597,2014030111,20142015,2015-04-15T23:00:00Z
20598,2014030112,20142015,2015-04-17T23:00:00Z
20599,2014030113,20142015,2015-04-19T23:00:00Z
20600,2014030114,20142015,2015-04-22T23:00:00Z
20601,2014030115,20142015,2015-04-24T23:00:00Z
20602,2014030116,20142015,2015-04-26T22:00:00Z
20603,2013030241,20132014,2014-05-04T00:00:00Z
20604,2013030242,20132014,2014-05-06T02:00:00Z
20605,2013030243,20132014,2014-05-09T02:00:00Z
20606,2013030244,20132014,2014-05-11T01:30:00Z
20607,2013030245,20132014,2014-05-13T02:00:00Z
20608,2013030246,20132014,2014-05-15T01:30:00Z
20609,2013030247,20132014,2014-05-17T01:00:00Z
20610,2014030231,20142015,2015-05-02T01:30:00Z
20611,2014030232,20142015,2015-05-04T00:30:00Z
20612,2014030233,20142015,2015-05-06T00:00:00Z
20613,2014030234,20142015,2015-05-08T01:30:00Z
20614,2013030321,20132014,2014-05-18T19:00:00Z
20615,2013030322,20132014,2014-05-22T00:00:00Z
20616,2013030323,20132014,2014-05-25T00:00:00Z
20617,2013030324,20132014,2014-05-27T01:00:00Z
20618,2013030325,20132014,2014-05-29T00:00:00Z
20619,2013030326,20132014,2014-05-31T01:00:00Z
20620,2013030327,20132014,2014-06-02T00:00:00Z
20621,2015030221,20152016,2016-04-29T00:00:00Z
20622,2015030222,20152016,2016-05-01T00:00:00Z
20623,2015030223,20152016,2016-05-03T00:00:00Z
20624,2015030224,20152016,2016-05-05T00:00:00Z
20625,2015030225,20152016,2016-05-07T23:15:00Z
20626,2015030226,20152016,2016-05-11T00:00:00Z
20627,2015030111,20152016,2016-04-15T00:00:00Z
20628,2015030112,20152016,2016-04-15T23:30:00Z
20629,2015030113,20152016,2016-04-18T00:00:00Z
20630,2015030114,20152016,2016-04-21T00:00:00Z
20631,2015030115,20152016,2016-04-23T00:00:00Z
20632,2015030116,20152016,2016-04-24T23:00:00Z
20633,2013030171,20132014,2014-04-17T02:00:00Z
20634,2013030172,20132014,2014-04-19T02:00:00Z
20635,2013030173,20132014,2014-04-22T01:30:00Z
20636,2013030174,20132014,2014-04-24T00:00:00Z
20637,2013030175,20132014,2014-04-26T02:30:00Z
20638,2013030176,20132014,2014-04-28T00:00:00Z
20639,2016030231,20162017,2017-04-27T00:00:00Z
20640,2016030232,20162017,2017-04-29T00:00:00Z
20641,2016030233,20162017,2017-04-30T19:00:00Z
20642,2016030234,20162017,2017-05-03T01:30:00Z
20643,2016030235,20162017,2017-05-06T00:00:00Z
20644,2016030236,20162017,2017-05-07T19:00:00Z
20645,2015030161,20152016,2016-04-14T01:30:00Z
20646,2015030162,20152016,2016-04-16T00:00:00Z
20647,2015030163,20152016,2016-04-17T19:00:00Z
20648,2015030164,20152016,2016-04-20T01:30:00Z
20649,2015030165,20152016,2016-04-22T01:30:00Z
20650,2015030166,20152016,2016-04-24T00:00:00Z
20651,2015030167,20152016,2016-04-26T00:30:00Z
20652,2014030221,20142015,2015-04-30T23:30:00Z
20653,2014030222,20142015,2015-05-02T16:30:00Z
20654,2014030223,20142015,2015-05-04T23:30:00Z
20655,2014030224,20142015,2015-05-06T23:30:00Z
20656,2014030225,20142015,2015-05-08T23:00:00Z
20657,2014030226,20142015,2015-05-10T23:00:00Z
20658,2014030227,20142015,2015-05-13T23:30:00Z
20659,2014030211,20142015,2015-05-01T23:00:00Z
20660,2014030212,20142015,2015-05-03T22:00:00Z
20661,2014030213,20142015,2015-05-06T23:00:00Z
20662,2014030214,20142015,2015-05-07T23:00:00Z
20663,2014030215,20142015,2015-05-09T23:00:00Z
20664,2014030216,20142015,2015-05-12T23:30:00Z
20665,2016030131,20162017,2017-04-13T23:00:00Z
20666,2016030132,20162017,2017-04-15T23:00:00Z
20667,2016030133,20162017,2017-04-17T23:00:00Z
20668,2016030134,20162017,2017-04-19T23:00:00Z
20669,2016030135,20162017,2017-04-21T23:00:00Z
20670,2016030136,20162017,2017-04-23T23:00:00Z
20671,2016030137,20162017,2017-04-25T23:30:00Z
20672,2016030141,20162017,2017-04-12T23:30:00Z
20673,2016030142,20162017,2017-04-14T23:00:00Z
20674,2016030143,20162017,2017-04-16T22:00:00Z
20675,2016030144,20162017,2017-04-18T23:30:00Z
20676,2016030145,20162017,2017-04-20T23:00:00Z
20677,2014030141,20142015,2015-04-15T23:00:00Z
20678,2014030142,20142015,2015-04-17T23:00:00Z
20679,2014030143,20142015,2015-04-19T16:00:00Z
20680,2014030144,20142015,2015-04-21T23:30:00Z
20681,2014030145,20142015,2015-04-23T23:00:00Z
20682,2014030146,20142015,2015-04-25T19:00:00Z
20683,2014030147,20142015,2015-04-27T23:30:00Z
20684,2016030161,20162017,2017-04-13T01:30:00Z
20685,2016030162,20162017,2017-04-15T00:00:00Z
20686,2016030163,20162017,2017-04-16T19:00:00Z
