,game_id,player_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
3049,2017021255,8474141,16,1183,1,0,3,1.0,0,0,2,0,0,0.0,1.0,0,0,0.0,-1,1126,0,57
3050,2017021255,8476994,16,898,0,0,2,0.0,0,0,0,0,0,1.0,1.0,0,0,0.0,0,898,0,0
3051,2017021255,8478106,16,860,0,0,1,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,797,0,63
3052,2017021255,8477951,16,1214,1,0,0,0.0,0,0,0,6,13,0.0,0.0,0,0,0.0,0,1122,35,57
3053,2017021255,8473573,16,967,0,0,1,0.0,0,0,0,8,14,0.0,0.0,0,0,1.0,-3,850,60,57
3054,2017021255,8478561,16,852,0,0,0,4.0,0,0,2,0,0,0.0,0.0,0,0,0.0,-2,852,0,0
3055,2017021255,8476473,16,870,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0,0,1.0,0,844,26,0
3056,2017021255,8479595,16,961,0,0,2,0.0,0,0,0,0,0,0.0,0.0,0,0,1.0,0,901,60,0
3057,2017021255,8480153,16,679,0,0,0,0.0,0,0,0,4,14,0.0,0.0,0,0,3.0,0,679,0,0
3058,2017021255,8480144,16,900,0,0,1,0.0,0,0,0,9,14,2.0,0.0,0,0,3.0,0,840,60,0
3059,2017021255,8469544,16,1143,0,0,2,0.0,0,0,0,1,1,0.0,0.0,0,0,1.0,-1,1086,0,57
3204,2017021010,8470607,16,1244,0,0,0,1.0,0,0,0,0,0,0.0,2.0,0,0,2.0,-1,1051,90,103
3205,2017021010,8476979,16,1130,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,1.0,1,1130,0,0
3206,2017021010,8477407,16,794,0,0,2,0.0,0,0,2,0,0,0.0,0.0,0,0,0.0,-1,689,0,105
3207,2017021010,8473604,16,1144,0,0,0,0.0,0,0,5,13,23,1.0,0.0,0,0,0.0,-1,947,74,123
3208,2017021010,8476438,16,1235,0,0,4,0.0,0,0,0,1,2,0.0,1.0,0,0,0.0,-2,1024,88,123
3209,2017021010,8479337,16,971,1,0,3,1.0,0,0,0,2,2,0.0,0.0,0,0,0.0,2,866,0,105
3210,2017021010,8477851,16,1032,0,0,2,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,-4,1020,0,12
3211,2017021010,8470281,16,1383,1,0,1,1.0,0,0,0,0,0,0.0,3.0,0,0,1.0,1,1150,108,125
3212,2017021010,8474141,16,1275,0,0,7,0.0,0,0,0,0,0,0.0,2.0,0,0,1.0,-2,1152,0,123
3213,2017021010,8476994,16,946,2,0,2,0.0,0,0,0,0,0,4.0,1.0,0,0,0.0,2,841,0,105
3214,2017021010,8477951,16,944,0,2,2,1.0,0,0,0,4,10,1.0,1.0,0,0,1.0,2,819,20,105
3215,2017021010,8473573,16,1008,0,0,1,0.0,0,0,0,4,7,0.0,1.0,0,0,0.0,-1,844,41,123
3216,2017021010,8477472,16,968,0,0,3,0.0,0,0,0,0,0,0.0,1.0,0,0,2.0,-2,915,41,12
3217,2017021010,8476473,16,1207,1,0,3,1.0,0,0,0,0,0,1.0,0.0,0,0,1.0,1,1148,59,0
3218,2017021010,8478146,16,635,0,0,3,1.0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1,582,41,12
3219,2017021010,8476430,16,720,0,1,4,1.0,0,0,0,0,0,0.0,1.0,0,0,0.0,-1,720,0,0
3220,2017021010,8480144,16,694,0,0,3,1.0,0,0,0,6,10,0.0,0.0,0,0,0.0,-2,648,34,12
3221,2017021010,8469544,16,658,0,0,0,1.0,0,0,2,0,0,0.0,1.0,0,0,1.0,0,646,0,12
3456,2016020889,8466148,16,727,0,0,3,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1,636,19,72
3457,2016020889,8471769,16,1181,0,0,1,0.0,0,0,2,0,0,0.0,0.0,0,0,4.0,0,1154,17,10
3458,2016020889,8477929,16,580,0,0,1,0.0,0,0,0,4,8,0.0,0.0,0,0,1.0,-1,561,19,0
3459,2016020889,8466285,16,1096,1,0,1,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,2,1018,0,78
3460,2016020889,8470607,16,1231,0,0,2,0.0,0,0,0,0,0,1.0,0.0,0,0,3.0,2,1111,58,62
3461,2016020889,8475209,16,1089,1,1,4,1.0,0,0,0,0,0,0.0,0.0,0,0,0.0,5,918,0,171
3462,2016020889,8473604,16,1185,2,3,4,0.0,0,0,0,9,17,0.0,0.0,0,0,0.0,5,953,70,162
3463,2016020889,8478528,16,675,0,0,2,0.0,0,0,2,5,10,0.0,0.0,0,0,2.0,0,669,0,6
3464,2016020889,8477845,16,1020,1,0,1,0.0,0,0,0,0,0,0.0,0.0,0,0,1.0,2,1006,14,0
3465,2016020889,8470281,16,1517,0,0,3,0.0,0,0,0,0,0,0.0,0.0,0,0,2.0,1,1269,89,159
3466,2016020889,8474141,16,1203,0,0,6,0.0,0,0,0,0,0,0.0,1.0,0,0,0.0,0,1041,0,162
3467,2016020889,8476994,16,618,0,0,2,0.0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,618,0,0
3468,2016020889,8477951,16,986,2,1,2,0.0,0,0,0,0,0,1.0,1.0,0,0,1.0,5,917,0,69
3469,2016020889,8475323,16,680,0,0,2,1.0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1,610,70,0
