,game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
45317,2010030157,8470645,16,3916,0,0,0,38,36,5,2,29,2,31,5,94.7368421052632,100.0,93.5483870967742
45343,2011030171,8470645,16,4106,0,0,0,34,31,3,0,28,0,31,3,91.1764705882353,100.0,90.3225806451613
45345,2011030172,8470645,16,4168,0,0,0,33,30,7,0,23,0,24,9,90.9090909090909,77.7777777777778,95.8333333333333
45348,2011030173,8470645,16,4395,0,0,0,34,31,6,0,25,0,28,6,91.1764705882353,100.0,89.2857142857143
45350,2011030174,8470645,16,3720,0,0,0,19,16,1,0,15,0,18,1,84.2105263157895,100.0,83.3333333333333
45351,2011030175,8470645,16,3760,0,0,0,19,18,5,0,13,0,14,5,94.7368421052632,100.0,92.8571428571429
45354,2011030176,8470645,16,3583,0,0,0,20,16,6,1,9,1,11,8,80.0,75.0,81.8181818181818
45404,2012030321,8470645,16,3600,0,0,0,22,21,3,0,18,0,19,3,95.4545454545455,100.0,94.7368421052632
45407,2012030322,8470645,16,3597,0,0,0,31,29,8,0,21,0,22,9,93.5483870967742,88.8888888888889,95.4545454545455
45408,2012030323,8470645,16,3533,0,0,0,27,25,6,0,19,0,21,6,92.5925925925926,100.0,90.4761904761905
45410,2012030324,8470645,16,3593,0,0,0,21,19,1,1,17,1,19,1,90.4761904761905,100.0,89.4736842105263
45413,2012030325,8470645,16,5500,0,0,0,36,33,3,0,30,1,31,4,91.6666666666667,75.0,96.7741935483871
45612,2012030411,8470645,16,6728,0,0,0,54,51,5,0,46,0,48,6,94.4444444444444,83.3333333333333,95.8333333333333
45614,2012030412,8470645,16,4428,0,0,0,28,26,3,0,23,0,25,3,92.8571428571429,100.0,92.0
45615,2012030413,8470645,16,3497,0,0,0,35,33,9,1,23,1,24,10,94.2857142857143,90.0,95.8333333333333
45617,2012030414,8470645,16,4191,0,0,0,33,28,4,0,24,0,27,6,84.8484848484848,66.6666666666667,88.8888888888889
45620,2012030415,8470645,16,3600,0,0,0,25,24,0,0,24,0,25,0,96.0,0.0,96.0
45621,2012030416,8470645,16,3591,0,0,0,25,23,7,1,15,1,17,7,92.0,100.0,88.2352941176471
45707,2019020016,8470645,16,3484,0,0,0,38,34,1,1,32,1,35,2,89.4736842105263,50.0,91.4285714285714
45719,2019020016,8470645,16,3484,0,0,0,38,34,1,1,32,1,35,2,89.4736842105263,50.0,91.4285714285714
45867,2019020054,8470645,16,3510,0,0,0,34,29,5,0,24,0,27,7,85.2941176470588,71.4285714285714,88.8888888888889
45891,2019020054,8470645,16,3510,0,0,0,34,29,5,0,24,0,27,7,85.2941176470588,71.4285714285714,88.8888888888889
45918,2019020069,8475215,16,3647,0,0,0,33,30,3,1,26,1,28,4,90.9090909090909,75.0,92.8571428571429
45947,2019020069,8475215,16,3647,0,0,0,33,30,3,1,26,1,28,4,90.9090909090909,75.0,92.8571428571429
45995,2019020084,8470645,16,3594,0,0,0,28,27,1,0,26,0,26,2,96.4285714285714,50.0,100.0
46010,2019020084,8470645,16,3594,0,0,0,28,27,1,0,26,0,26,2,96.4285714285714,50.0,100.0
46108,2019020110,8475215,16,3644,0,0,2,39,37,7,1,29,1,31,7,94.8717948717949,100.0,93.5483870967742
46121,2019020110,8475215,16,3644,0,0,2,39,37,7,1,29,1,31,7,94.8717948717949,100.0,93.5483870967742
46178,2019020126,8470645,16,3478,0,0,0,29,25,0,1,24,2,26,1,86.2068965517241,0.0,92.3076923076923
46188,2019020126,8470645,16,3478,0,0,0,29,25,0,1,24,2,26,1,86.2068965517241,0.0,92.3076923076923
46228,2019020141,8475215,16,3892,0,0,0,34,33,6,1,26,1,27,6,97.0588235294118,100.0,96.2962962962963
46250,2019020141,8475215,16,3892,0,0,0,34,33,6,1,26,1,27,6,97.0588235294118,100.0,96.2962962962963
46274,2019020151,8475215,16,3600,0,0,0,23,19,1,1,17,1,21,1,82.6086956521739,100.0,80.9523809523809
46294,2019020151,8475215,16,3600,0,0,0,23,19,1,1,17,1,21,1,82.6086956521739,100.0,80.9523809523809
46329,2019020161,8470645,16,3600,0,0,0,31,27,2,1,24,1,26,4,87.0967741935484,50.0,92.3076923076923
46347,2019020161,8470645,16,3600,0,0,0,31,27,2,1,24,1,26,4,87.0967741935484,50.0,92.3076923076923
46371,2019020175,8475215,16,3600,0,0,0,39,38,7,0,31,0,32,7,97.4358974358974,100.0,96.875
46389,2019020175,8475215,16,3600,0,0,0,39,38,7,0,31,0,32,7,97.4358974358974,100.0,96.875
46424,2019020185,8475215,16,3593,0,0,0,51,48,8,1,39,1,42,8,94.1176470588235,100.0,92.8571428571429
46445,2019020185,8475215,16,3593,0,0,0,51,48,8,1,39,1,42,8,94.1176470588235,100.0,92.8571428571429
46547,2019020217,8475215,16,318,0,0,0,5,5,3,0,2,0,2,3,100.0,100.0,100.0
46548,2019020217,8470645,16,3496,0,0,0,44,40,7,0,33,0,37,7,90.9090909090909,100.0,89.1891891891892
46576,2019020217,8475215,16,318,0,0,0,5,5,3,0,2,0,2,3,100.0,100.0,100.0
46577,2019020217,8470645,16,3496,0,0,0,44,40,7,0,33,0,37,7,90.9090909090909,100.0,89.1891891891892
46581,2019020219,8475215,16,3624,0,0,0,38,36,4,7,25,7,26,5,94.7368421052632,80.0,96.1538461538462
46585,2019020219,8475215,16,3624,0,0,0,38,36,4,7,25,7,26,5,94.7368421052632,80.0,96.1538461538462
46627,2019020234,8475215,16,3487,0,0,0,31,28,5,2,21,3,23,5,90.3225806451613,100.0,91.304347826087
46649,2019020234,8475215,16,3487,0,0,0,31,28,5,2,21,3,23,5,90.3225806451613,100.0,91.304347826087
46672,2019020243,8470645,16,3577,0,0,0,38,36,4,2,30,2,31,5,94.7368421052632,80.0,96.7741935483871
46696,2019020243,8470645,16,3577,0,0,0,38,36,4,2,30,2,31,5,94.7368421052632,80.0,96.7741935483871
46733,2019020257,8470645,16,3900,0,0,0,31,29,2,0,27,0,29,2,93.5483870967742,100.0,93.1034482758621
46755,2019020257,8470645,16,3900,0,0,0,31,29,2,0,27,0,29,2,93.5483870967742,100.0,93.1034482758621
46776,2019020268,8475215,16,3600,0,0,0,57,53,8,0,45,0,47,10,92.9824561403509,80.0,95.7446808510638
46790,2019020268,8475215,16,3600,0,0,0,57,53,8,0,45,0,47,10,92.9824561403509,80.0,95.7446808510638
46853,2019020285,8470645,16,3600,0,0,0,42,39,5,0,34,0,36,6,92.8571428571429,83.3333333333333,94.4444444444444
46863,2019020285,8470645,16,3600,0,0,0,42,39,5,0,34,0,36,6,92.8571428571429,83.3333333333333,94.4444444444444
46946,2019020310,8475215,16,3580,0,0,0,41,39,3,0,36,0,38,3,95.1219512195122,100.0,94.7368421052632
46978,2019020310,8475215,16,3580,0,0,0,41,39,3,0,36,0,38,3,95.1219512195122,100.0,94.7368421052632
46988,2019020314,8470645,16,3593,0,0,0,34,33,7,2,24,2,25,7,97.0588235294118,100.0,96.0
46992,2019020314,8470645,16,3593,0,0,0,34,33,7,2,24,2,25,7,97.0588235294118,100.0,96.0
47019,2019020326,8475215,16,3472,0,0,0,32,29,2,2,25,2,28,2,90.625,100.0,89.2857142857143
47046,2019020326,8475215,16,3472,0,0,0,32,29,2,2,25,2,28,2,90.625,100.0,89.2857142857143
47081,2019020341,8470645,16,3460,0,0,0,34,31,6,0,25,0,27,7,91.1764705882353,85.7142857142857,92.5925925925926
47109,2019020341,8470645,16,3460,0,0,0,34,31,6,0,25,0,27,7,91.1764705882353,85.7142857142857,92.5925925925926
47153,2019020359,8475215,16,3900,0,0,0,41,40,9,2,29,2,30,9,97.5609756097561,100.0,96.6666666666667
47183,2019020359,8475215,16,3900,0,0,0,41,40,9,2,29,2,30,9,97.5609756097561,100.0,96.6666666666667
47243,2019020376,8470645,16,3600,0,0,0,32,32,4,0,28,0,28,4,100.0,100.0,100.0
47250,2019020376,8470645,16,3600,0,0,0,32,32,4,0,28,0,28,4,100.0,100.0,100.0
47318,2019020394,8470645,16,3594,0,0,0,23,18,0,0,18,0,22,1,78.2608695652174,0.0,81.8181818181818
47342,2019020394,8470645,16,3594,0,0,0,23,18,0,0,18,0,22,1,78.2608695652174,0.0,81.8181818181818
47380,2019020413,8475215,16,1550,0,0,0,14,9,2,1,6,1,10,3,64.2857142857143,66.6666666666667,60.0
47381,2019020413,8470645,16,2050,0,0,0,15,13,2,0,11,0,13,2,86.6666666666667,100.0,84.6153846153846
47408,2019020413,8475215,16,1550,0,0,0,14,9,2,1,6,1,10,3,64.2857142857143,66.6666666666667,60.0
47409,2019020413,8470645,16,2050,0,0,0,15,13,2,0,11,0,13,2,86.6666666666667,100.0,84.6153846153846
47435,2019020422,8470645,16,3600,0,0,0,30,26,1,0,25,0,28,2,86.6666666666667,50.0,89.2857142857143
47446,2019020422,8470645,16,3600,0,0,0,30,26,1,0,25,0,28,2,86.6666666666667,50.0,89.2857142857143
47513,2019020438,8475215,16,3654,0,0,0,40,37,10,0,27,1,29,10,92.5,100.0,93.1034482758621
47531,2019020438,8475215,16,3654,0,0,0,40,37,10,0,27,1,29,10,92.5,100.0,93.1034482758621
47549,2019020447,8470645,16,3900,0,0,0,30,29,2,0,27,0,27,3,96.6666666666667,66.6666666666667,100.0
47559,2019020447,8470645,16,3900,0,0,0,30,29,2,0,27,0,27,3,96.6666666666667,66.6666666666667,100.0
47630,2019020465,8475215,16,3891,0,0,0,47,44,10,0,34,0,35,12,93.6170212765958,83.3333333333333,97.1428571428571
47640,2019020465,8475215,16,3891,0,0,0,47,44,10,0,34,0,35,12,93.6170212765958,83.3333333333333,97.1428571428571
47680,2019020482,8470645,16,3590,0,0,0,37,32,3,1,28,2,31,4,86.4864864864865,75.0,90.3225806451613
47705,2019020482,8470645,16,3590,0,0,0,37,32,3,1,28,2,31,4,86.4864864864865,75.0,90.3225806451613
47737,2019020495,8475215,16,3600,0,0,0,40,35,9,3,23,3,28,9,87.5,100.0,82.1428571428571
47761,2019020495,8475215,16,3600,0,0,0,40,35,9,3,23,3,28,9,87.5,100.0,82.1428571428571
47804,2019020512,8470645,16,3488,0,0,0,38,34,3,0,31,0,35,3,89.4736842105263,100.0,88.5714285714286
47833,2019020512,8470645,16,3488,0,0,0,38,34,3,0,31,0,35,3,89.4736842105263,100.0,88.5714285714286
47841,2019020517,8475215,16,3600,0,0,0,26,23,0,0,23,0,25,1,88.4615384615385,0.0,92.0
47851,2019020517,8475215,16,3600,0,0,0,26,23,0,0,23,0,25,1,88.4615384615385,0.0,92.0
47928,2019020536,8470645,16,3582,0,0,0,35,32,1,2,29,2,32,1,91.4285714285714,100.0,90.625
47934,2019020536,8470645,16,3582,0,0,0,35,32,1,2,29,2,32,1,91.4285714285714,100.0,90.625
47947,2019020543,8475215,16,3600,0,0,0,37,36,5,0,31,0,32,5,97.2972972972973,100.0,96.875
47968,2019020543,8475215,16,3600,0,0,0,37,36,5,0,31,0,32,5,97.2972972972973,100.0,96.875
48021,2019020562,8475215,16,3600,0,0,0,31,28,4,0,24,0,27,4,90.3225806451613,100.0,88.8888888888889
48049,2019020562,8475215,16,3600,0,0,0,31,28,4,0,24,0,27,4,90.3225806451613,100.0,88.8888888888889
48092,2019020578,8475215,16,1760,0,0,0,24,21,4,2,15,3,17,4,87.5,100.0,88.2352941176471
48093,2019020578,8470645,16,1840,0,0,0,20,16,0,1,15,1,19,0,80.0,0.0,78.9473684210526
48121,2019020578,8475215,16,1760,0,0,0,24,21,4,2,15,3,17,4,87.5,100.0,88.2352941176471
48122,2019020578,8470645,16,1840,0,0,0,20,16,0,1,15,1,19,0,80.0,0.0,78.9473684210526
48146,2019020589,8475215,16,3600,0,0,0,40,38,6,2,30,3,31,6,95.0,100.0,96.7741935483871
48171,2019020589,8475215,16,3600,0,0,0,40,38,6,2,30,3,31,6,95.0,100.0,96.7741935483871
48223,2019020604,8475215,16,3900,0,0,0,33,31,3,0,28,0,30,3,93.9393939393939,100.0,93.3333333333333
48245,2019020604,8475215,16,3900,0,0,0,33,31,3,0,28,0,30,3,93.9393939393939,100.0,93.3333333333333
48288,2019020622,8475215,16,3600,0,0,0,44,41,1,1,39,2,41,1,93.1818181818182,100.0,95.1219512195122
48316,2019020622,8475215,16,3600,0,0,0,44,41,1,1,39,2,41,1,93.1818181818182,100.0,95.1219512195122
48349,2019020637,8475215,16,3531,0,0,0,36,30,3,2,25,2,30,4,83.3333333333333,75.0,83.3333333333333
48375,2019020637,8475215,16,3531,0,0,0,36,30,3,2,25,2,30,4,83.3333333333333,75.0,83.3333333333333
48450,2019020657,8470645,16,3600,0,0,0,21,19,1,0,18,0,19,2,90.4761904761905,50.0,94.7368421052632
48462,2019020657,8470645,16,3600,0,0,0,21,19,1,0,18,0,19,2,90.4761904761905,50.0,94.7368421052632
48504,2019020672,8470645,16,3481,0,0,0,28,26,5,0,21,0,23,5,92.8571428571429,100.0,91.304347826087
48530,2019020672,8470645,16,3481,0,0,0,28,26,5,0,21,0,23,5,92.8571428571429,100.0,91.304347826087
48561,2019020684,8470645,16,3542,0,0,0,28,25,3,1,21,1,24,3,89.2857142857143,100.0,87.5
48584,2019020684,8470645,16,3542,0,0,0,28,25,3,1,21,1,24,3,89.2857142857143,100.0,87.5
48622,2019020699,8475215,16,3600,0,0,0,37,35,1,0,34,0,36,1,94.5945945945946,100.0,94.4444444444444
48644,2019020699,8475215,16,3600,0,0,0,37,35,1,0,34,0,36,1,94.5945945945946,100.0,94.4444444444444
48714,2019020720,8475215,16,3642,0,0,0,22,20,4,0,16,0,18,4,90.9090909090909,100.0,88.8888888888889
48739,2019020720,8475215,16,3642,0,0,0,22,20,4,0,16,0,18,4,90.9090909090909,100.0,88.8888888888889
48749,2019020725,8470645,16,3590,0,0,0,33,32,5,0,27,0,28,5,96.969696969697,100.0,96.4285714285714
48753,2019020725,8470645,16,3590,0,0,0,33,32,5,0,27,0,28,5,96.969696969697,100.0,96.4285714285714
48838,2019020747,8470645,16,3586,0,0,0,33,31,1,0,30,0,31,2,93.9393939393939,50.0,96.7741935483871
48867,2019020747,8470645,16,3586,0,0,0,33,31,1,0,30,0,31,2,93.9393939393939,50.0,96.7741935483871
48890,2019020758,8475215,16,3600,0,0,0,38,36,13,0,23,0,25,13,94.7368421052632,100.0,92.0
48898,2019020758,8475215,16,3600,0,0,0,38,36,13,0,23,0,25,13,94.7368421052632,100.0,92.0
48918,2019020765,8475215,16,3529,0,0,0,26,22,0,0,22,0,25,1,84.6153846153846,0.0,88.0
48928,2019020765,8475215,16,3529,0,0,0,26,22,0,0,22,0,25,1,84.6153846153846,0.0,88.0
49075,2019020802,8470645,16,3900,0,0,0,42,40,4,0,36,0,38,4,95.2380952380952,100.0,94.7368421052632
49105,2019020802,8470645,16,3900,0,0,0,42,40,4,0,36,0,38,4,95.2380952380952,100.0,94.7368421052632
49166,2019020821,8470645,16,3741,0,0,0,34,31,1,1,29,1,31,2,91.1764705882353,50.0,93.5483870967742
49193,2019020821,8470645,16,3741,0,0,0,34,31,1,1,29,1,31,2,91.1764705882353,50.0,93.5483870967742
49204,2019020826,8475215,16,3679,0,0,0,40,38,5,2,31,2,33,5,95.0,100.0,93.9393939393939
49208,2019020826,8475215,16,3679,0,0,0,40,38,5,2,31,2,33,5,95.0,100.0,93.9393939393939
49335,2019020858,8470645,16,3554,0,0,0,34,31,6,2,23,3,24,7,91.1764705882353,85.7142857142857,95.8333333333333
49345,2019020858,8470645,16,3554,0,0,0,34,31,6,2,23,3,24,7,91.1764705882353,85.7142857142857,95.8333333333333
49397,2019020875,8475215,16,3474,0,0,0,30,26,4,1,21,1,23,6,86.6666666666667,66.6666666666667,91.304347826087
49419,2019020875,8475215,16,3474,0,0,0,30,26,4,1,21,1,23,6,86.6666666666667,66.6666666666667,91.304347826087
49425,2019020879,8470645,16,3538,0,0,0,19,17,3,2,12,2,13,4,89.4736842105263,75.0,92.3076923076923
49431,2019020879,8470645,16,3538,0,0,0,19,17,3,2,12,2,13,4,89.4736842105263,75.0,92.3076923076923
49517,2019020903,8475215,16,3600,0,0,0,42,38,6,2,30,2,33,7,90.4761904761905,85.7142857142857,90.9090909090909
49542,2019020903,8475215,16,3600,0,0,0,42,38,6,2,30,2,33,7,90.4761904761905,85.7142857142857,90.9090909090909
49566,2019020914,8470645,16,3489,0,0,0,38,35,0,0,35,0,38,0,92.1052631578947,0.0,92.1052631578947
49585,2019020914,8470645,16,3489,0,0,0,38,35,0,0,35,0,38,0,92.1052631578947,0.0,92.1052631578947
49638,2019020927,8475215,16,3561,0,0,2,41,35,6,0,29,0,34,7,85.3658536585366,85.7142857142857,85.2941176470588
49650,2019020927,8475215,16,3561,0,0,2,41,35,6,0,29,0,34,7,85.3658536585366,85.7142857142857,85.2941176470588
49698,2019020943,8470645,16,3816,0,0,0,43,42,8,0,34,0,35,8,97.6744186046512,100.0,97.1428571428571
49713,2019020943,8470645,16,3816,0,0,0,43,42,8,0,34,0,35,8,97.6744186046512,100.0,97.1428571428571
49777,2019020961,8470645,16,3484,0,0,0,33,31,0,0,31,0,33,0,93.9393939393939,0.0,93.9393939393939
49793,2019020961,8470645,16,3484,0,0,0,33,31,0,0,31,0,33,0,93.9393939393939,0.0,93.9393939393939
49829,2019020976,8470645,16,3470,0,0,0,37,31,5,1,25,1,29,7,83.7837837837838,71.4285714285714,86.2068965517241
49855,2019020976,8470645,16,3470,0,0,0,37,31,5,1,25,1,29,7,83.7837837837838,71.4285714285714,86.2068965517241
49879,2019020986,8470645,16,3600,0,0,0,38,36,11,3,22,3,24,11,94.7368421052632,100.0,91.6666666666667
49900,2019020986,8470645,16,3600,0,0,0,38,36,11,3,22,3,24,11,94.7368421052632,100.0,91.6666666666667
49947,2019021002,8470645,16,3900,0,0,0,40,38,8,1,29,1,31,8,95.0,100.0,93.5483870967742
49972,2019021002,8470645,16,3900,0,0,0,40,38,8,1,29,1,31,8,95.0,100.0,93.5483870967742
50040,2019021025,8476876,16,70,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
50041,2019021025,8470645,16,3530,0,0,0,39,37,5,1,31,1,33,5,94.8717948717949,100.0,93.9393939393939
50063,2019021025,8476876,16,70,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
50064,2019021025,8470645,16,3530,0,0,0,39,37,5,1,31,1,33,5,94.8717948717949,100.0,93.9393939393939
50103,2019021040,8470645,16,3584,0,0,0,24,21,0,0,21,0,24,0,87.5,0.0,87.5
50124,2019021040,8470645,16,3584,0,0,0,24,21,0,0,21,0,24,0,87.5,0.0,87.5
50131,2019021044,8470645,16,3478,0,0,0,25,23,3,1,19,1,20,4,92.0,75.0,95.0
50144,2019021044,8470645,16,3478,0,0,0,25,23,3,1,19,1,20,4,92.0,75.0,95.0
50204,2019021061,8470645,16,3384,0,0,0,26,24,1,1,22,1,24,1,92.3076923076923,100.0,91.6666666666667
50218,2019021061,8470645,16,3384,0,0,0,26,24,1,1,22,1,24,1,92.3076923076923,100.0,91.6666666666667
50278,2019021079,8470645,16,3600,0,0,0,36,34,6,1,27,1,28,7,94.4444444444444,85.7142857142857,96.4285714285714
50288,2019021079,8470645,16,3600,0,0,0,36,34,6,1,27,1,28,7,94.4444444444444,85.7142857142857,96.4285714285714
50299,2019030061,8470645,16,3600,0,0,0,29,25,3,2,20,2,21,6,86.2068965517241,50.0,95.2380952380952
50338,2019030062,8470645,16,3597,0,0,0,35,29,7,0,22,0,27,8,82.8571428571429,87.5,81.4814814814815
50350,2019030062,8470645,16,3597,0,0,0,35,29,7,0,22,0,27,8,82.8571428571429,87.5,81.4814814814815
50387,2019030063,8470645,16,3600,0,0,0,28,25,5,0,20,0,22,6,89.2857142857143,83.3333333333333,90.9090909090909
50399,2019030063,8470645,16,3600,0,0,0,28,25,5,0,20,0,22,6,89.2857142857143,83.3333333333333,90.9090909090909
50429,2019030064,8470645,16,3600,0,0,0,45,43,8,2,33,2,35,8,95.5555555555556,100.0,94.2857142857143
50441,2019030064,8470645,16,3600,0,0,0,45,43,8,2,33,2,35,8,95.5555555555556,100.0,94.2857142857143
50470,2019030151,8470645,16,3600,0,0,0,34,30,6,5,19,5,23,6,88.2352941176471,100.0,82.6086956521739
50476,2019030151,8470645,16,3600,0,0,0,34,30,6,5,19,5,23,6,88.2352941176471,100.0,82.6086956521739
50500,2019030152,8470645,16,4033,0,0,0,39,35,3,0,32,0,36,3,89.7435897435898,100.0,88.8888888888889
50508,2019030152,8470645,16,4033,0,0,0,39,35,3,0,32,0,36,3,89.7435897435898,100.0,88.8888888888889
50543,2019030153,8470645,16,3485,0,0,0,26,24,5,0,19,1,20,5,92.3076923076923,100.0,95.0
50551,2019030153,8470645,16,3485,0,0,0,26,24,5,0,19,1,20,5,92.3076923076923,100.0,95.0
50557,2019030154,8470645,16,3600,0,0,0,49,48,9,1,38,1,39,9,97.9591836734694,100.0,97.4358974358974
50567,2019030154,8470645,16,3600,0,0,0,49,48,9,1,38,1,39,9,97.9591836734694,100.0,97.4358974358974
50596,2019030155,8470645,16,3526,0,0,0,39,35,0,0,35,0,38,1,89.7435897435898,0.0,92.1052631578947
50604,2019030155,8470645,16,3526,0,0,0,39,35,0,0,35,0,38,1,89.7435897435898,0.0,92.1052631578947
50864,2018020009,8470320,16,3638,0,0,0,25,22,2,2,18,2,20,3,88.0,66.6666666666667,90.0
50885,2018020009,8470320,16,3638,0,0,0,25,22,2,2,18,2,20,3,88.0,66.6666666666667,90.0
50921,2018020024,8470320,16,3729,0,0,0,30,26,6,1,19,1,21,8,86.6666666666667,75.0,90.4761904761905
50946,2018020024,8470320,16,3729,0,0,0,30,26,6,1,19,1,21,8,86.6666666666667,75.0,90.4761904761905
50959,2018020030,8470320,16,3523,0,0,0,34,27,2,1,24,1,30,3,79.4117647058823,66.6666666666667,80.0
50965,2018020030,8470320,16,3523,0,0,0,34,27,2,1,24,1,30,3,79.4117647058823,66.6666666666667,80.0
51043,2018020056,8470320,16,3805,0,0,0,46,42,1,1,40,2,43,1,91.304347826087,100.0,93.0232558139535
51068,2018020056,8470320,16,3805,0,0,0,46,42,1,1,40,2,43,1,91.304347826087,100.0,93.0232558139535
51095,2018020068,8470320,16,3886,0,0,0,38,35,7,2,26,2,27,9,92.1052631578947,77.7777777777778,96.2962962962963
51125,2018020068,8470320,16,3886,0,0,0,38,35,7,2,26,2,27,9,92.1052631578947,77.7777777777778,96.2962962962963
51221,2018020095,8470645,16,3429,0,0,0,30,27,0,2,25,2,28,0,90.0,0.0,89.2857142857143
51241,2018020095,8470645,16,3429,0,0,0,30,27,0,2,25,2,28,0,90.0,0.0,89.2857142857143
51282,2018020109,8470645,16,3596,0,0,0,38,37,11,2,24,2,25,11,97.3684210526316,100.0,96.0
51308,2018020109,8470645,16,3596,0,0,0,38,37,11,2,24,2,25,11,97.3684210526316,100.0,96.0
51321,2018020116,8470320,16,3541,0,0,2,54,49,4,0,45,0,49,5,90.7407407407407,80.0,91.8367346938776
51327,2018020116,8470320,16,3541,0,0,2,54,49,4,0,45,0,49,5,90.7407407407407,80.0,91.8367346938776
51360,2018020127,8470645,16,3600,0,0,0,25,24,8,0,16,0,17,8,96.0,100.0,94.1176470588235
51377,2018020127,8470645,16,3600,0,0,0,25,24,8,0,16,0,17,8,96.0,100.0,94.1176470588235
51410,2018020139,8470645,16,3585,1,0,0,19,18,3,0,15,0,16,3,94.7368421052632,100.0,93.75
51432,2018020139,8470645,16,3585,1,0,0,19,18,3,0,15,0,16,3,94.7368421052632,100.0,93.75
51472,2018020155,8470645,16,3502,0,0,0,36,30,7,0,23,0,27,9,83.3333333333333,77.7777777777778,85.1851851851852
51495,2018020155,8470645,16,3502,0,0,0,36,30,7,0,23,0,27,9,83.3333333333333,77.7777777777778,85.1851851851852
51511,2018020162,8470320,16,3644,0,0,0,26,24,3,1,20,1,22,3,92.3076923076923,100.0,90.9090909090909
51523,2018020162,8470320,16,3644,0,0,0,26,24,3,1,20,1,22,3,92.3076923076923,100.0,90.9090909090909
51590,2018020178,8470645,16,3456,0,0,0,28,24,8,0,16,0,20,8,85.7142857142857,100.0,80.0
51592,2018020178,8470645,16,3456,0,0,0,28,24,8,0,16,0,20,8,85.7142857142857,100.0,80.0
51612,2018020188,8470320,16,3595,0,0,0,29,25,3,1,21,2,23,4,86.2068965517241,75.0,91.304347826087
51638,2018020188,8470320,16,3595,0,0,0,29,25,3,1,21,2,23,4,86.2068965517241,75.0,91.304347826087
51678,2018020203,8470645,16,3489,0,0,0,40,36,8,0,28,0,31,9,90.0,88.8888888888889,90.3225806451613
51704,2018020203,8470645,16,3489,0,0,0,40,36,8,0,28,0,31,9,90.0,88.8888888888889,90.3225806451613
51812,2018020233,8470645,16,3483,0,0,0,34,30,4,1,25,1,28,5,88.2352941176471,80.0,89.2857142857143
51833,2018020233,8470645,16,3483,0,0,0,34,30,4,1,25,1,28,5,88.2352941176471,80.0,89.2857142857143
51864,2018020243,8470645,16,3509,0,0,0,24,21,5,0,16,0,19,5,87.5,100.0,84.2105263157895
51886,2018020243,8470645,16,3509,0,0,0,24,21,5,0,16,0,19,5,87.5,100.0,84.2105263157895
51938,2018020261,8470320,16,3676,0,0,0,40,37,1,0,36,0,37,3,92.5,33.3333333333333,97.2972972972973
51946,2018020261,8470320,16,3676,0,0,0,40,37,1,0,36,0,37,3,92.5,33.3333333333333,97.2972972972973
51993,2018020273,8470645,16,3600,0,0,0,28,28,1,1,26,1,26,1,100.0,100.0,100.0
52002,2018020273,8470645,16,3600,0,0,0,28,28,1,1,26,1,26,1,100.0,100.0,100.0
52055,2018020288,8470645,16,3900,0,0,0,32,31,3,2,26,2,27,3,96.875,100.0,96.2962962962963
52067,2018020288,8470645,16,3900,0,0,0,32,31,3,2,26,2,27,3,96.875,100.0,96.2962962962963
52126,2018020305,8470645,16,3600,0,0,0,40,39,4,1,34,1,34,5,97.5,80.0,100.0
52137,2018020305,8470645,16,3600,0,0,0,40,39,4,1,34,1,34,5,97.5,80.0,100.0
52195,2018020322,8470645,16,3431,0,0,0,27,23,6,0,17,0,20,7,85.1851851851852,85.7142857142857,85.0
52229,2018020322,8470645,16,3431,0,0,0,27,23,6,0,17,0,20,7,85.1851851851852,85.7142857142857,85.0
52274,2018020341,8470645,16,3430,0,0,0,29,25,4,0,21,0,25,4,86.2068965517241,100.0,84.0
52306,2018020341,8470645,16,3430,0,0,0,29,25,4,0,21,0,25,4,86.2068965517241,100.0,84.0
52332,2018020351,8470320,16,3643,0,0,0,38,34,3,0,31,0,34,4,89.4736842105263,75.0,91.1764705882353
52356,2018020351,8470320,16,3643,0,0,0,38,34,3,0,31,0,34,4,89.4736842105263,75.0,91.1764705882353
52424,2018020374,8470320,16,1200,0,0,0,13,11,1,0,10,0,12,1,84.6153846153846,100.0,83.3333333333333
52425,2018020374,8470645,16,2400,0,0,0,30,24,1,0,23,0,28,2,80.0,50.0,82.1428571428571
52446,2018020374,8470320,16,1200,0,0,0,13,11,1,0,10,0,12,1,84.6153846153846,100.0,83.3333333333333
52447,2018020374,8470645,16,2400,0,0,0,30,24,1,0,23,0,28,2,80.0,50.0,82.1428571428571
52482,2018020387,8470645,16,3495,0,0,0,33,27,3,0,24,0,29,4,81.8181818181818,75.0,82.7586206896552
52498,2018020387,8470645,16,3495,0,0,0,33,27,3,0,24,0,29,4,81.8181818181818,75.0,82.7586206896552
52544,2018020404,8470320,16,3597,0,0,0,29,25,2,1,22,1,25,3,86.2068965517241,66.6666666666667,88.0
52568,2018020404,8470320,16,3597,0,0,0,29,25,2,1,22,1,25,3,86.2068965517241,66.6666666666667,88.0
