,game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
42152,2001020367,8459432,16,3900,0,0,0,30,27,7,0,20,0,21,9,90.0,77.7777777777778,95.2380952380952
42174,2001020613,8459432,16,3600,0,0,0,17,17,1,1,15,1,15,1,100.0,100.0,100.0
42300,2001020506,8459432,16,3600,0,0,0,29,24,6,0,18,0,21,8,82.7586206896552,75.0,85.7142857142857
42319,2001021210,8459132,16,3563,0,0,0,21,19,0,0,19,0,20,1,90.4761904761905,0.0,95.0
42502,2001020651,8459432,16,3600,0,0,0,26,19,2,0,17,0,21,5,73.0769230769231,40.0,80.9523809523809
42510,2001021187,8459432,16,3502,0,0,0,22,19,3,2,14,2,17,3,86.3636363636364,100.0,82.3529411764706
42558,2001020239,8459432,16,3600,0,0,0,23,22,3,1,18,1,19,3,95.6521739130435,100.0,94.7368421052632
42591,2001021110,8459132,16,3600,0,0,0,16,15,1,2,12,2,13,1,93.75,100.0,92.3076923076923
42597,2001020710,8459432,16,3900,0,0,0,32,30,2,0,28,0,30,2,93.75,100.0,93.3333333333333
42599,2001020056,8459132,16,1999,0,0,0,6,5,3,1,1,1,1,4,83.3333333333333,75.0,100.0
42600,2001020056,8459432,16,1591,0,0,0,14,10,5,0,5,0,6,8,71.4285714285714,62.5,83.3333333333333
42647,2001020475,8459432,16,3600,0,0,0,31,30,3,0,27,0,27,4,96.7741935483871,75.0,100.0
42701,2001020197,8459132,16,1233,0,0,0,18,16,3,1,12,1,13,4,88.8888888888889,75.0,92.3076923076923
42702,2001020197,8459432,16,2362,0,0,0,11,8,2,1,5,1,8,2,72.7272727272727,100.0,62.5
42727,2001020428,8459432,16,3600,0,0,0,13,10,0,2,8,2,8,3,76.9230769230769,0.0,100.0
42759,2001021030,8459432,16,3896,0,0,0,35,33,4,1,28,1,29,5,94.2857142857143,80.0,96.551724137931
42851,2001021226,8459432,16,3597,0,0,0,28,28,4,1,23,1,23,4,100.0,100.0,100.0
42863,2001020266,8459432,16,3550,0,0,0,26,23,6,1,16,1,18,7,88.4615384615385,85.7142857142857,88.8888888888889
42911,2001021125,8459432,16,3600,0,0,0,19,18,4,0,14,0,15,4,94.7368421052632,100.0,93.3333333333333
42930,2001021096,8459132,16,3600,0,0,0,17,16,5,0,11,0,11,6,94.1176470588235,83.3333333333333,100.0
43026,2001020923,8459132,16,3600,0,0,0,17,16,5,0,11,0,12,5,94.1176470588235,100.0,91.6666666666667
43030,2001020380,8459432,16,3557,0,0,2,20,18,8,0,10,0,12,8,90.0,100.0,83.3333333333333
43209,2001020048,8459432,16,3600,0,0,0,33,33,2,0,31,0,31,2,100.0,100.0,100.0
43228,2001020220,8459432,16,3590,0,0,0,28,27,9,1,17,1,18,9,96.4285714285714,100.0,94.4444444444444
